Regroupement,Croisement,Nom,Cumul,nbPrelPos,nombreSequencageA,nombreSequencageB,nombreSequencageG,NbrConfirmeDelta,NbrPresomptifDelta,Delta_Total,NbrAutres,NbrAutre2,Total_VOC,nbrNonVOC,nbrCribETSeq,nbrCrib,nbrSeq,nbrCribOUSeq
Région,RSS01,01 - Bas-Saint-Laurent,Total,2804,994,0,0,5,84,89,1721,1230,1083,491,188,1666,220,1574
Région,RSS02,02 - Saguenay-Lac-Saint-Jean,Total,3342,997,0,0,9,178,187,2158,1384,1184,774,165,2009,204,1958
Région,RSS03,03 - Capitale-Nationale,Total,15654,6276,5,11,175,881,1056,8306,5194,7348,3112,858,10108,1055,10460
Région,RSS04,04 - Mauricie et Centre-du-Québec,Total,7021,1652,1,2,68,877,945,4421,3808,2600,613,268,4248,373,3213
Région,RSS05,05 - Estrie,Total,8166,2035,0,11,221,858,1079,5041,4022,3125,1019,492,3984,471,4144
Région,RSS06,06 - Montréal,Total,72840,13822,126,284,2011,7687,9698,48910,33969,23930,14941,4889,31584,5802,38871
Région,RSS07,07 - Outaouais,Total,8169,3839,17,33,101,971,1072,3208,1847,4961,1361,175,4732,1131,6322
Région,RSS08,08 - Abitibi-Témiscamingue,Total,902,101,193,0,10,33,43,565,281,337,284,15,247,239,621
Région,RSS09,09 - Côte-Nord,Total,340,163,0,0,3,34,37,140,93,200,47,14,255,36,247
Région,RSS10,10 - Nord-du-Québec,Total,64,22,2,0,2,13,15,25,4,39,21,4,58,5,60
Région,RSS11,11 - Gaspésie-Îles-de-la-Madeleine,Total,578,185,0,0,5,70,75,318,247,260,71,14,360,36,331
Région,RSS12,12 - Chaudière-Appalaches,Total,12827,3452,1,10,42,1496,1538,7826,6574,5001,1252,508,8197,770,6253
Région,RSS13,13 - Laval,Total,18512,3278,13,23,386,2972,3358,11840,8738,6672,3102,581,7327,890,9774
Région,RSS14,14 - Lanaudière,Total,11188,1820,38,11,175,1895,2070,7249,4800,3939,2449,556,5339,761,6388
Région,RSS15,15 - Laurentides,Total,12845,2559,33,59,215,2628,2843,7351,4246,5494,3105,907,7514,1010,8599
Région,RSS16,16 - Montérégie,Total,26458,4291,25,155,983,3050,4033,17954,12741,8504,5213,1757,11190,2106,13717
Région,RSS00,Inconnu,Total,481,50,1,0,18,63,81,349,143,132,206,21,258,88,338
Région,RSS98,Hors-Québec,Total,841,124,11,10,143,135,278,418,284,423,134,164,345,234,557
Région,RSS99,Ensemble du Québec,Total,203032,45660,466,609,4572,23925,28497,127800,89605,75232,38195,11576,99421,15431,113427

