Regroupement,Croisement,Nom,Cumul,nbPrelPos,nombreSequencageA,nombreSequencageB,nombreSequencageG,NbrConfirmeDelta,NbrPresomptifDelta,Delta_Total,NbrAutres,NbrAutre2,Total_VOC,nbrNonVOC,nbrCribETSeq,nbrCrib,nbrSeq,nbrCribOUSeq
Région,RSS01,01 - Bas-Saint-Laurent,Total,2812,994,0,0,5,88,93,1725,1234,1087,491,188,1670,220,1578
Région,RSS02,02 - Saguenay-Lac-Saint-Jean,Total,3355,997,0,0,9,178,187,2171,1397,1184,774,165,2019,204,1958
Région,RSS03,03 - Capitale-Nationale,Total,15672,6276,5,11,175,882,1057,8323,5211,7349,3112,858,10114,1055,10461
Région,RSS04,04 - Mauricie et Centre-du-Québec,Total,7066,1652,1,2,68,879,947,4464,3851,2602,613,268,4286,373,3215
Région,RSS05,05 - Estrie,Total,8195,2035,0,11,221,858,1079,5070,4050,3125,1020,492,3985,471,4145
Région,RSS06,06 - Montréal,Total,73019,13822,126,284,2011,7882,9893,48894,33948,24125,14946,4889,31874,5802,39071
Région,RSS07,07 - Outaouais,Total,8186,3839,17,33,101,994,1095,3202,1841,4984,1361,175,4757,1131,6345
Région,RSS08,08 - Abitibi-Témiscamingue,Total,906,101,193,0,10,43,53,559,275,347,284,15,258,239,631
Région,RSS09,09 - Côte-Nord,Total,344,163,0,0,3,34,37,144,97,200,47,14,255,36,247
Région,RSS10,10 - Nord-du-Québec,Total,64,22,2,0,2,13,15,25,4,39,21,4,58,5,60
Région,RSS11,11 - Gaspésie-Îles-de-la-Madeleine,Total,581,185,0,0,5,70,75,321,250,260,71,14,360,36,331
Région,RSS12,12 - Chaudière-Appalaches,Total,12925,3452,1,10,42,1496,1538,7924,6672,5001,1252,508,8198,770,6253
Région,RSS13,13 - Laval,Total,18559,3278,13,23,386,3019,3405,11840,8739,6719,3101,581,7384,890,9820
Région,RSS14,14 - Lanaudière,Total,11225,1820,38,11,175,1908,2083,7273,4823,3952,2450,556,5354,761,6402
Région,RSS15,15 - Laurentides,Total,12894,2559,33,59,215,2653,2868,7375,4269,5519,3106,907,7545,1010,8625
Région,RSS16,16 - Montérégie,Total,26547,4291,25,155,983,3136,4119,17957,12743,8590,5214,1757,11293,2106,13804
Région,RSS00,Inconnu,Total,481,50,1,0,18,69,87,343,137,138,206,21,265,88,344
Région,RSS98,Hors-Québec,Total,844,125,11,10,148,145,293,405,270,439,135,164,357,241,574
Région,RSS99,Ensemble du Québec,Total,203675,45661,466,609,4577,24347,28924,128015,89811,75660,38204,11576,100032,15438,113864

