Regroupement,Croisement,Nom,Cumul,nbPrelPos,nombreSequencageA,nombreSequencageB,nombreSequencageG,NbrConfirmeDelta,NbrPresomptifDelta,Delta_Total,NbrAutres,NbrAutre2,Total_VOC,nbrNonVOC,nbrCribETSeq,nbrCrib,nbrSeq,nbrCribOUSeq
Région,RSS01,01 - Bas-Saint-Laurent,Total,2830,994,0,0,5,106,111,1725,1233,1105,492,188,1691,220,1597
Région,RSS02,02 - Saguenay-Lac-Saint-Jean,Total,3390,997,0,0,14,217,231,2162,1388,1228,774,170,2026,206,2002
Région,RSS03,03 - Capitale-Nationale,Total,15805,6276,5,11,183,984,1167,8346,5233,7459,3113,866,10258,1056,10572
Région,RSS04,04 - Mauricie et Centre-du-Québec,Total,7194,1652,1,2,137,898,1035,4504,3887,2690,617,334,4399,377,3307
Région,RSS05,05 - Estrie,Total,8326,2035,0,11,222,915,1137,5143,4107,3183,1036,497,4084,397,4219
Région,RSS06,06 - Montréal,Total,73682,13822,126,284,2343,8003,10346,49104,34124,24578,14980,5245,31894,6037,39558
Région,RSS07,07 - Outaouais,Total,8251,3839,17,33,103,1087,1190,3172,1802,5079,1370,178,4865,1137,6449
Région,RSS08,08 - Abitibi-Témiscamingue,Total,917,101,193,0,11,45,56,567,283,350,284,16,260,240,634
Région,RSS09,09 - Côte-Nord,Total,364,163,0,0,3,62,65,136,85,228,51,14,287,36,279
Région,RSS10,10 - Nord-du-Québec,Total,65,22,2,0,4,12,16,25,4,40,21,6,57,6,61
Région,RSS11,11 - Gaspésie-Îles-de-la-Madeleine,Total,588,185,0,0,5,76,81,322,251,266,71,14,366,36,337
Région,RSS12,12 - Chaudière-Appalaches,Total,13204,3452,1,10,46,1900,1946,7795,6525,5409,1270,514,8623,770,6679
Région,RSS13,13 - Laval,Total,18719,3278,13,23,417,3084,3501,11904,8812,6815,3092,615,7428,908,9907
Région,RSS14,14 - Lanaudière,Total,11357,1820,38,11,188,1990,2178,7310,4862,4047,2448,569,5434,767,6495
Région,RSS15,15 - Laurentides,Total,13041,2559,33,59,219,2781,3000,7390,4269,5651,3121,911,7691,1013,8772
Région,RSS16,16 - Montérégie,Total,26881,4291,25,155,1099,3087,4186,18224,13005,8657,5219,1881,11291,2201,13876
Région,RSS00,Inconnu,Total,497,50,1,0,21,67,88,358,152,139,206,24,263,89,345
Région,RSS98,Hors-Québec,Total,857,125,11,10,152,146,298,413,276,444,137,170,357,248,581
Région,RSS99,Ensemble du Québec,Total,205968,45661,466,609,5172,25460,30632,128600,90298,77368,38302,12212,101274,15744,115670

