Regroupement,Croisement,Nom,Cumul,nbPrelPos,nombreSequencageA,nombreSequencageB,nombreSequencageG,NbrConfirmeDelta,NbrPresomptifDelta,Delta_Total,NbrAutres,NbrAutre2,Total_VOC,nbrNonVOC,nbrCribETSeq,nbrCrib,nbrSeq,nbrCribOUSeq
Région,RSS01,01 - Bas-Saint-Laurent,Total,2843,994,0,0,5,108,113,1736,1244,1107,492,188,1694,220,1599
Région,RSS02,02 - Saguenay-Lac-Saint-Jean,Total,3391,997,0,0,14,217,231,2163,1389,1228,774,170,2026,206,2002
Région,RSS03,03 - Capitale-Nationale,Total,15827,6276,5,11,183,987,1170,8365,5251,7462,3114,866,10263,1056,10576
Région,RSS04,04 - Mauricie et Centre-du-Québec,Total,7229,1652,1,2,137,902,1039,4535,3918,2694,617,334,4406,377,3311
Région,RSS05,05 - Estrie,Total,8327,2035,0,11,222,916,1138,5143,4107,3184,1036,497,4085,397,4220
Région,RSS06,06 - Montréal,Total,73793,13822,126,284,2344,8059,10403,49158,34171,24635,14987,5245,31960,6038,39622
Région,RSS07,07 - Outaouais,Total,8262,3839,17,33,103,1102,1205,3168,1798,5094,1370,178,4882,1137,6464
Région,RSS08,08 - Abitibi-Témiscamingue,Total,920,101,193,0,11,53,64,562,278,358,284,16,270,240,642
Région,RSS09,09 - Côte-Nord,Total,366,163,0,0,3,62,65,138,87,228,51,14,287,36,279
Région,RSS10,10 - Nord-du-Québec,Total,65,22,2,0,4,12,16,25,4,40,21,6,57,6,61
Région,RSS11,11 - Gaspésie-Îles-de-la-Madeleine,Total,591,185,0,0,5,80,85,321,250,270,71,14,370,36,341
Région,RSS12,12 - Chaudière-Appalaches,Total,13258,3452,1,10,46,1901,1947,7848,6578,5410,1270,515,8623,770,6680
Région,RSS13,13 - Laval,Total,18734,3278,13,23,417,3084,3501,11919,8827,6815,3092,615,7428,908,9907
Région,RSS14,14 - Lanaudière,Total,11360,1820,38,11,188,1990,2178,7313,4865,4047,2448,569,5435,767,6495
Région,RSS15,15 - Laurentides,Total,13082,2559,33,59,219,2783,3002,7429,4308,5653,3121,911,7702,1013,8774
Région,RSS16,16 - Montérégie,Total,26929,4291,25,155,1099,3093,4192,18266,13047,8663,5219,1881,11297,2201,13882
Région,RSS00,Inconnu,Total,504,50,1,0,21,67,88,365,159,139,206,24,263,89,345
Région,RSS98,Hors-Québec,Total,864,125,11,10,152,147,299,419,282,445,137,170,358,248,582
Région,RSS99,Ensemble du Québec,Total,206345,45661,466,609,5173,25563,30736,128873,90563,77472,38310,12213,101406,15745,115782

