Regroupement,Croisement,Nom,Cumul,nbPrelPos,nombreSequencageA,nombreSequencageB,nombreSequencageG,NbrConfirmeDelta,NbrPresomptifDelta,Delta_Total,NbrAutres,NbrAutre2,Total_VOC,nbrNonVOC,nbrCribETSeq,nbrCrib,nbrSeq,nbrCribOUSeq
Région,RSS01,01 - Bas-Saint-Laurent,Total,3054,994,0,0,8,105,113,1947,1455,1107,492,195,1689,227,1599
Région,RSS02,02 - Saguenay-Lac-Saint-Jean,Total,3438,997,0,0,38,193,231,2210,1436,1228,774,194,2002,212,2002
Région,RSS03,03 - Capitale-Nationale,Total,16189,6277,5,11,370,803,1173,8723,5609,7466,3114,1053,10084,1190,10580
Région,RSS04,04 - Mauricie et Centre-du-Québec,Total,7468,1652,1,2,141,898,1039,4774,4156,2694,618,342,4412,378,3312
Région,RSS05,05 - Estrie,Total,8940,2034,0,11,233,906,1139,5756,4716,3184,1040,518,4078,386,4224
Région,RSS06,06 - Montréal,Total,75682,13823,126,285,2829,7680,10509,50939,35953,24743,14986,5715,31559,6425,39729
Région,RSS07,07 - Outaouais,Total,8352,3839,17,33,105,1100,1205,3258,1888,5094,1370,180,4880,1139,6464
Région,RSS08,08 - Abitibi-Témiscamingue,Total,928,103,193,0,14,57,71,561,277,367,284,16,275,245,651
Région,RSS09,09 - Côte-Nord,Total,417,163,0,0,9,56,65,189,138,228,51,20,282,41,279
Région,RSS10,10 - Nord-du-Québec,Total,67,22,2,0,4,12,16,27,6,40,21,6,57,6,61
Région,RSS11,11 - Gaspésie-Îles-de-la-Madeleine,Total,679,185,0,0,33,56,89,405,334,274,71,38,346,59,345
Région,RSS12,12 - Chaudière-Appalaches,Total,13875,3452,1,10,337,1612,1949,8463,7193,5412,1270,811,8327,980,6682
Région,RSS13,13 - Laval,Total,19278,3279,13,23,436,3069,3505,12458,9366,6820,3092,638,7411,926,9912
Région,RSS14,14 - Lanaudière,Total,11747,1819,38,11,197,1983,2180,7699,5252,4048,2447,596,5407,792,6495
Région,RSS15,15 - Laurentides,Total,13555,2559,33,59,223,2782,3005,7899,4775,5656,3124,931,7689,1036,8780
Région,RSS16,16 - Montérégie,Total,27930,4291,25,155,1250,2948,4198,19261,14042,8669,5219,2041,11141,2341,13888
Région,RSS00,Inconnu,Total,693,51,1,0,21,73,94,547,339,146,208,25,272,90,354
Région,RSS98,Hors-Québec,Total,912,125,11,10,164,140,304,462,325,450,137,178,354,259,587
Région,RSS99,Ensemble du Québec,Total,213204,45665,466,610,6412,24473,30885,135578,97260,77626,38318,13497,100265,16732,115944

