Regroupement,Croisement,Nom,Cumul,nbPrelPos,nombreSequencageA,nombreSequencageB,nombreSequencageG,NbrConfirmeDelta,NbrPresomptifDelta,Delta_Total,NbrAutres,NbrAutre2,Total_VOC,nbrNonVOC,nbrCribETSeq,nbrCrib,nbrSeq,nbrCribOUSeq
Région,RSS01,01 - Bas-Saint-Laurent,Total,3193,994,0,0,16,98,114,2085,1616,1108,469,206,1675,211,1577
Région,RSS02,02 - Saguenay-Lac-Saint-Jean,Total,3498,997,0,0,58,177,235,2266,1508,1232,758,212,1984,206,1990
Région,RSS03,03 - Capitale-Nationale,Total,16860,6280,5,11,452,714,1166,9398,6528,7462,2870,1151,9966,1019,10332
Région,RSS04,04 - Mauricie et Centre-du-Québec,Total,8104,1652,1,2,211,825,1036,5413,4870,2691,543,416,4288,327,3234
Région,RSS05,05 - Estrie,Total,10714,2033,0,11,334,811,1145,7525,6555,3189,970,622,3981,381,4159
Région,RSS06,06 - Montréal,Total,80134,13820,126,285,3891,6578,10469,55434,43323,24700,12111,6882,30229,6832,36811
Région,RSS07,07 - Outaouais,Total,8588,3839,17,33,156,1053,1209,3490,3206,5098,284,238,4821,761,5382
Région,RSS08,08 - Abitibi-Témiscamingue,Total,1085,103,187,0,24,44,68,727,623,358,104,25,260,239,462
Région,RSS09,09 - Côte-Nord,Total,516,163,0,0,11,54,65,288,247,228,41,22,279,33,269
Région,RSS10,10 - Nord-du-Québec,Total,67,22,1,0,5,11,16,28,9,39,19,13,50,5,58
Région,RSS11,11 - Gaspésie-Îles-de-la-Madeleine,Total,736,185,0,0,33,56,89,462,414,274,48,38,346,36,322
Région,RSS12,12 - Chaudière-Appalaches,Total,15206,3452,1,10,396,1549,1945,9798,9120,5408,678,872,8259,1006,6086
Région,RSS13,13 - Laval,Total,20148,3280,13,23,587,2926,3513,13319,11957,6829,1362,808,7239,947,8191
Région,RSS14,14 - Lanaudière,Total,12696,1820,38,11,307,1876,2183,8644,6831,4052,1813,732,5265,713,5865
Région,RSS15,15 - Laurentides,Total,14957,2558,33,59,384,2626,3010,9297,6532,5660,2765,1114,7483,1034,8425
Région,RSS16,16 - Montérégie,Total,29655,4291,26,155,1667,2554,4221,20962,17652,8693,3310,2483,10684,1721,12003
Région,RSS00,Inconnu,Total,1312,51,1,0,28,64,92,1168,1023,144,145,30,263,70,289
Région,RSS98,Hors-Québec,Total,962,125,11,10,194,113,307,509,410,453,99,207,322,263,552
Région,RSS99,Ensemble du Québec,Total,228431,45665,460,610,8754,22129,30883,150813,122424,77618,28389,16071,97394,15804,106007

