Regroupement,Croisement,Nom,Cumul,nbPrelPos,nombreSequencageA,nombreSequencageB,nombreSequencageG,NbrConfirmeDelta,NbrPresomptifDelta,Delta_Total,NbrAutres,NbrAutre2,Total_VOC,nbrNonVOC,nbrCribETSeq,nbrCrib,nbrSeq,nbrCribOUSeq,nbrOmicronPresomptif
Région,RSS01,01 - Bas-Saint-Laurent,Total,3299,994,0,0,19,98,117,2188,1719,1111,469,206,1675,214,1580,0
Région,RSS02,02 - Saguenay-Lac-Saint-Jean,Total,3625,997,0,0,66,177,243,2385,1627,1240,758,212,1984,214,1998,0
Région,RSS03,03 - Capitale-Nationale,Total,17374,6280,5,11,492,714,1206,9872,7002,7502,2870,1151,9966,1059,10372,0
Région,RSS04,04 - Mauricie et Centre-du-Québec,Total,8797,1652,1,2,231,822,1053,6089,5546,2708,543,419,4285,347,3251,0
Région,RSS05,05 - Estrie,Total,12232,2033,0,11,437,811,1248,8940,7970,3292,970,622,3981,484,4262,0
Région,RSS06,06 - Montréal,Total,83649,13820,126,285,3999,6571,10570,58848,46737,24801,12111,6890,30221,6941,36912,2
Région,RSS07,07 - Outaouais,Total,8775,3839,17,33,164,1053,1217,3669,3385,5106,284,238,4821,769,5390,2
Région,RSS08,08 - Abitibi-Témiscamingue,Total,1193,103,187,0,26,42,68,835,731,358,104,27,258,241,462,0
Région,RSS09,09 - Côte-Nord,Total,532,163,0,0,11,54,65,304,263,228,41,22,279,33,269,0
Région,RSS10,10 - Nord-du-Québec,Total,68,22,1,0,5,11,16,29,10,39,19,13,50,5,58,0
Région,RSS11,11 - Gaspésie-Îles-de-la-Madeleine,Total,754,185,0,0,33,56,89,480,432,274,48,38,346,36,322,0
Région,RSS12,12 - Chaudière-Appalaches,Total,16231,3452,1,10,452,1547,1999,10769,10091,5462,678,874,8257,1062,6140,0
Région,RSS13,13 - Laval,Total,21019,3280,13,23,588,2926,3514,14189,12827,6830,1362,809,7239,947,8192,0
Région,RSS14,14 - Lanaudière,Total,13430,1820,38,11,332,1876,2208,9353,7540,4077,1813,732,5265,738,5890,0
Région,RSS15,15 - Laurentides,Total,16015,2558,33,59,413,2626,3039,10326,7561,5689,2765,1114,7483,1063,8454,0
Région,RSS16,16 - Montérégie,Total,31216,4291,26,155,1762,2552,4314,22430,19120,8786,3310,2485,10682,1816,12096,0
Région,RSS00,Inconnu,Total,1401,51,1,0,32,63,95,1254,1109,147,145,31,262,74,292,0
Région,RSS98,Hors-Québec,Total,993,125,11,10,195,112,307,540,441,453,99,208,321,264,552,4
Région,RSS99,Ensemble du Québec,Total,240603,45665,460,610,9257,22111,31368,162500,134111,78103,28389,16091,97375,16307,106492,8

