Regroupement,Croisement,Nom,Cumul,nbPrelPos,nombreSequencageA,nombreSequencageB,nombreSequencageG,NbrConfirmeDelta,NbrPresomptifDelta,Delta_Total,NbrAutres,NbrAutre2,Total_VOC,nbrNonVOC,nbrCribETSeq,nbrCrib,nbrSeq,nbrCribOUSeq,nbrOmicronPresomptif
Région,RSS01,01 - Bas-Saint-Laurent,Total,3397,994,0,0,19,98,117,2286,1817,1111,469,206,1675,214,1580,0
Région,RSS02,02 - Saguenay-Lac-Saint-Jean,Total,3820,997,0,0,66,177,243,2580,1822,1240,758,212,1984,214,1998,0
Région,RSS03,03 - Capitale-Nationale,Total,18076,6280,5,11,492,714,1206,10574,7704,7502,2870,1151,9966,1059,10372,0
Région,RSS04,04 - Mauricie et Centre-du-Québec,Total,9711,1652,1,2,231,822,1053,7003,6459,2708,544,419,4285,348,3252,0
Région,RSS05,05 - Estrie,Total,13262,2033,0,11,437,811,1248,9970,9000,3292,970,622,3981,484,4262,0
Région,RSS06,06 - Montréal,Total,86847,13820,126,285,3999,6571,10570,62046,49934,24801,12112,6890,30221,6942,36913,12
Région,RSS07,07 - Outaouais,Total,9017,3839,17,33,164,1053,1217,3911,3627,5106,284,238,4821,769,5390,2
Région,RSS08,08 - Abitibi-Témiscamingue,Total,1225,103,187,0,28,40,68,867,763,358,104,29,256,243,462,0
Région,RSS09,09 - Côte-Nord,Total,539,163,0,0,11,54,65,311,270,228,41,22,279,33,269,0
Région,RSS10,10 - Nord-du-Québec,Total,76,22,1,0,5,11,16,37,18,39,19,13,50,5,58,0
Région,RSS11,11 - Gaspésie-Îles-de-la-Madeleine,Total,778,185,0,0,33,56,89,504,455,274,49,38,346,37,323,0
Région,RSS12,12 - Chaudière-Appalaches,Total,17216,3452,1,10,452,1547,1999,11754,11076,5462,678,874,8257,1062,6140,0
Région,RSS13,13 - Laval,Total,21897,3280,13,23,588,2926,3514,15067,13705,6830,1362,809,7239,947,8192,1
Région,RSS14,14 - Lanaudière,Total,14195,1820,38,11,334,1874,2208,10118,8305,4077,1813,734,5263,738,5890,0
Région,RSS15,15 - Laurentides,Total,17019,2558,33,59,413,2626,3039,11330,8565,5689,2765,1114,7483,1063,8454,0
Région,RSS16,16 - Montérégie,Total,32996,4291,26,155,1762,2552,4314,24210,20900,8786,3310,2485,10682,1816,12096,3
Région,RSS00,Inconnu,Total,1439,51,1,0,32,63,95,1292,1147,147,145,31,262,74,292,2
Région,RSS98,Hors-Québec,Total,1014,125,11,10,195,112,307,561,462,453,99,208,321,264,552,4
Région,RSS99,Ensemble du Québec,Total,252524,45665,460,610,9261,22107,31368,174421,146029,78103,28392,16095,97371,16312,106495,24

