Regroupement,Croisement,Nom,Cumul,nbPrelPos,nombreSequencageA,nombreSequencageB,nombreSequencageG,NbrConfirmeDelta,NbrPresomptifDelta,Delta_Total,NbrAutres,NbrAutre2,Total_VOC,nbrNonVOC,nbrCribETSeq,nbrCrib,nbrSeq,nbrCribOUSeq,nbrOmicronPresomptif,nbrOmicronSanger,nbrOmicronSeq,Omicron_Total
Région,RSS01,01 - Bas-Saint-Laurent,Total,3445,994,0,0,26,98,124,2327,1858,1118,469,206,1675,221,1587,0,0,0,0
Région,RSS02,02 - Saguenay-Lac-Saint-Jean,Total,3964,997,0,0,68,177,245,2722,1964,1242,758,212,1984,216,2000,0,0,0,0
Région,RSS03,03 - Capitale-Nationale,Total,18548,6280,5,11,507,714,1221,11031,8161,7517,2870,1151,9966,1074,10387,1,0,0,1
Région,RSS04,04 - Mauricie et Centre-du-Québec,Total,10198,1652,1,2,258,822,1080,7463,6919,2735,544,419,4285,375,3279,0,0,0,0
Région,RSS05,05 - Estrie,Total,13920,2033,0,11,473,811,1284,10592,9622,3328,970,622,3981,520,4298,1,0,0,1
Région,RSS06,06 - Montréal,Total,89428,13820,126,285,4105,6571,10676,64521,52409,24907,12112,6890,30221,7048,37019,80,8,0,88
Région,RSS07,07 - Outaouais,Total,9222,3839,17,33,170,1053,1223,4110,3826,5112,284,238,4821,775,5396,4,2,0,6
Région,RSS08,08 - Abitibi-Témiscamingue,Total,1253,103,187,0,29,40,69,894,790,359,104,29,256,244,463,0,0,0,0
Région,RSS09,09 - Côte-Nord,Total,555,163,0,0,11,54,65,327,286,228,41,22,279,33,269,0,0,0,0
Région,RSS10,10 - Nord-du-Québec,Total,77,22,1,0,5,11,16,38,19,39,19,13,50,5,58,0,0,0,0
Région,RSS11,11 - Gaspésie-Îles-de-la-Madeleine,Total,790,185,0,0,33,56,89,516,467,274,49,38,346,37,323,0,0,0,0
Région,RSS12,12 - Chaudière-Appalaches,Total,17947,3452,1,10,497,1547,2044,12440,11761,5507,679,874,8257,1108,6186,0,0,0,0
Région,RSS13,13 - Laval,Total,22291,3280,13,23,591,2926,3517,15458,14096,6833,1362,809,7239,950,8195,1,0,0,1
Région,RSS14,14 - Lanaudière,Total,14690,1820,38,11,364,1874,2238,10583,8770,4107,1813,734,5263,768,5920,4,0,0,4
Région,RSS15,15 - Laurentides,Total,17645,2558,33,59,428,2626,3054,11941,9176,5704,2765,1114,7483,1078,8469,1,0,0,1
Région,RSS16,16 - Montérégie,Total,34352,4291,26,155,1814,2552,4366,25514,22204,8838,3310,2485,10682,1868,12148,38,2,0,40
Région,RSS00,Inconnu,Total,1447,51,1,0,133,63,196,1199,1054,248,145,31,262,175,393,2,1,0,3
Région,RSS98,Hors-Québec,Total,1043,125,11,10,196,112,308,589,490,454,99,208,321,265,553,0,4,0,4
Région,RSS99,Ensemble du Québec,Total,260815,45665,460,610,9708,22107,31815,182265,153872,78550,28393,16095,97371,16760,106943,132,17,0,149

