Regroupement,Croisement,Nom,Cumul,nbPrelPos,nombreSequencageA,nombreSequencageB,nombreSequencageG,NbrConfirmeDelta,NbrPresomptifDelta,Delta_Total,NbrAutres,NbrAutre2,Total_VOC,nbrNonVOC,nbrCribETSeq,nbrCrib,nbrSeq,nbrCribOUSeq,nbrOmicronPresomptif,nbrOmicronSanger,nbrOmicronSeq,Omicron_Total
Région,RSS01,01 - Bas-Saint-Laurent,Total,3635,994,0,0,26,98,124,2517,2048,1118,469,206,1675,221,1587,0,0,0,0
Région,RSS02,02 - Saguenay-Lac-Saint-Jean,Total,4145,997,0,0,68,177,245,2903,2145,1242,758,212,1984,216,2000,1,0,0,1
Région,RSS03,03 - Capitale-Nationale,Total,19444,6280,5,11,507,714,1221,11927,9057,7517,2870,1151,9966,1074,10387,31,0,0,31
Région,RSS04,04 - Mauricie et Centre-du-Québec,Total,11232,1652,1,2,258,822,1080,8497,7953,2735,544,419,4285,375,3279,14,0,0,14
Région,RSS05,05 - Estrie,Total,15216,2033,0,11,473,811,1284,11888,10918,3328,970,622,3981,520,4298,4,0,0,4
Région,RSS06,06 - Montréal,Total,94570,13820,126,285,4105,6571,10676,69663,57551,24907,12112,6890,30222,7048,37019,221,38,0,259
Région,RSS07,07 - Outaouais,Total,9680,3839,17,33,170,1053,1223,4568,4284,5112,284,238,4822,775,5396,8,5,0,13
Région,RSS08,08 - Abitibi-Témiscamingue,Total,1344,103,187,0,29,40,69,985,881,359,104,29,256,244,463,0,0,0,0
Région,RSS09,09 - Côte-Nord,Total,631,163,0,0,11,54,65,403,362,228,41,22,279,33,269,0,0,0,0
Région,RSS10,10 - Nord-du-Québec,Total,78,22,1,0,5,11,16,39,20,39,19,13,50,5,58,0,0,0,0
Région,RSS11,11 - Gaspésie-Îles-de-la-Madeleine,Total,821,185,0,0,33,56,89,547,498,274,49,38,346,37,323,0,0,0,0
Région,RSS12,12 - Chaudière-Appalaches,Total,19056,3452,1,10,497,1547,2044,13549,12870,5507,679,874,8257,1108,6186,26,0,0,26
Région,RSS13,13 - Laval,Total,23288,3280,13,23,591,2926,3517,16455,15093,6833,1362,809,7239,950,8195,16,1,0,17
Région,RSS14,14 - Lanaudière,Total,15718,1820,38,11,364,1874,2238,11611,9798,4107,1813,734,5263,768,5920,17,1,0,18
Région,RSS15,15 - Laurentides,Total,19092,2558,33,59,428,2626,3054,13388,10623,5704,2765,1114,7483,1078,8469,34,1,0,35
Région,RSS16,16 - Montérégie,Total,37378,4291,26,155,1814,2552,4366,28540,25230,8838,3310,2485,10682,1868,12148,135,13,0,148
Région,RSS00,Inconnu,Total,1451,51,1,0,133,63,196,1203,1058,248,145,31,261,175,393,3,1,0,4
Région,RSS98,Hors-Québec,Total,1087,125,11,10,196,112,308,633,534,454,99,208,321,265,553,4,4,0,8
Région,RSS99,Ensemble du Québec,Total,277866,45665,460,610,9708,22107,31815,199316,170923,78550,28393,16095,97372,16760,106943,514,64,0,578

