Regroupement,Croisement,Nom,Cumul,nbPrelPos,nombreSequencageA,nombreSequencageB,nombreSequencageG,NbrConfirmeDelta,NbrPresomptifDelta,Delta_Total,NbrAutres,NbrAutre2,Total_VOC,nbrNonVOC,nbrCribETSeq,nbrCrib,nbrSeq,nbrCribOUSeq,nbrOmicronPresomptif,nbrOmicronSanger,nbrOmicronSeq,Omicron_Total
Région,RSS01,01 - Bas-Saint-Laurent,Total,3704,994,0,0,26,98,124,2586,2117,1118,469,206,1675,221,1587,2,0,0,2
Région,RSS02,02 - Saguenay-Lac-Saint-Jean,Total,4193,997,0,0,68,177,245,2951,2193,1242,758,212,1984,216,2000,3,0,0,3
Région,RSS03,03 - Capitale-Nationale,Total,19801,6280,5,11,507,714,1221,12284,9414,7517,2870,1151,9966,1074,10387,31,0,0,31
Région,RSS04,04 - Mauricie et Centre-du-Québec,Total,11652,1652,1,2,258,822,1080,8917,8373,2735,544,419,4285,375,3279,14,0,0,14
Région,RSS05,05 - Estrie,Total,15663,2033,0,11,473,811,1284,12335,11365,3328,970,622,3981,520,4298,11,0,0,11
Région,RSS06,06 - Montréal,Total,96615,13820,126,285,4105,6571,10676,71708,59596,24907,12112,6890,30222,7048,37019,362,38,0,400
Région,RSS07,07 - Outaouais,Total,9828,3839,17,33,170,1053,1223,4716,4432,5112,284,238,4822,775,5396,12,5,0,17
Région,RSS08,08 - Abitibi-Témiscamingue,Total,1383,103,187,0,29,40,69,1024,920,359,104,29,256,244,463,0,0,0,0
Région,RSS09,09 - Côte-Nord,Total,654,163,0,0,11,54,65,426,385,228,41,22,279,33,269,3,0,0,3
Région,RSS10,10 - Nord-du-Québec,Total,79,22,1,0,5,11,16,40,21,39,19,13,50,5,58,0,0,0,0
Région,RSS11,11 - Gaspésie-Îles-de-la-Madeleine,Total,829,185,0,0,33,56,89,555,506,274,49,38,346,37,323,0,0,0,0
Région,RSS12,12 - Chaudière-Appalaches,Total,19457,3452,1,10,497,1547,2044,13950,13271,5507,679,874,8257,1108,6186,26,0,0,26
Région,RSS13,13 - Laval,Total,23591,3280,13,23,591,2926,3517,16758,15396,6833,1362,809,7239,950,8195,22,1,0,23
Région,RSS14,14 - Lanaudière,Total,16140,1820,38,11,364,1874,2238,12033,10220,4107,1813,734,5263,768,5920,27,1,0,28
Région,RSS15,15 - Laurentides,Total,19613,2558,33,59,428,2626,3054,13909,11144,5704,2765,1114,7483,1078,8469,47,1,0,48
Région,RSS16,16 - Montérégie,Total,38620,4291,26,155,1814,2552,4366,29782,26472,8838,3310,2485,10682,1868,12148,159,13,0,172
Région,RSS00,Inconnu,Total,1462,51,1,0,133,63,196,1214,1069,248,145,31,261,175,393,3,1,0,4
Région,RSS98,Hors-Québec,Total,1107,125,11,10,196,112,308,653,554,454,99,208,321,265,553,6,4,0,10
Région,RSS99,Ensemble du Québec,Total,284391,45665,460,610,9708,22107,31815,205841,177448,78550,28393,16095,97372,16760,106943,728,64,0,792

