Regroupement,Croisement,Nom,Cumul,nbPrelPos,nombreSequencageA,nombreSequencageB,nombreSequencageG,NbrConfirmeDelta,NbrPresomptifDelta,Delta_Total,NbrAutres,NbrAutre2,Total_VOC,nbrNonVOC,nbrCribETSeq,nbrCrib,nbrSeq,nbrCribOUSeq,nbrDeltaPresomptif,nbrOmicronPresomptifP681R,nbrOmicronPresomptif,nbrOmicronTotalCrib,nbrOmicronSanger,nbrOmicronSeq,nbrOmicronTotalSeq,Omicron_Total
Région,RSS01,01 - Bas-Saint-Laurent,Total,9253,994,0,0,26,98,125,8135,7665,1118,470,206,1675,222,1588,1,0,18,18,0,1,1,19
Région,RSS02,02 - Saguenay-Lac-Saint-Jean,Total,11207,997,0,0,68,177,245,9965,9206,1242,759,212,1984,217,2001,0,0,16,16,0,1,1,17
Région,RSS03,03 - Capitale-Nationale,Total,39207,6280,5,11,512,714,1278,31685,28797,7522,2888,1151,9966,1097,10410,52,73,252,325,0,18,18,343
Région,RSS04,04 - Mauricie et Centre-du-Québec,Total,28640,1652,1,2,258,822,1081,25905,25358,2735,547,419,4286,377,3282,1,9,389,398,0,2,2,400
Région,RSS05,05 - Estrie,Total,26514,2033,0,11,481,811,1293,23178,22208,3336,970,622,3981,528,4306,1,4,28,32,0,0,0,32
Région,RSS06,06 - Montréal,Total,173077,13821,126,285,4137,6571,11229,148137,135999,24940,12138,6890,30222,7107,37078,521,2290,799,3089,22,26,48,3137
Région,RSS07,07 - Outaouais,Total,24361,3839,17,33,182,1053,1235,19237,18948,5124,289,238,4822,792,5413,0,7,34,41,2,5,7,48
Région,RSS08,08 - Abitibi-Témiscamingue,Total,4156,103,187,0,29,40,71,3797,3693,359,104,29,256,244,463,2,0,5,5,0,0,0,5
Région,RSS09,09 - Côte-Nord,Total,2461,163,0,0,11,54,65,2233,2192,228,41,22,279,33,269,0,0,6,6,0,0,0,6
Région,RSS10,10 - Nord-du-Québec,Total,445,22,1,0,5,11,17,406,387,39,19,13,50,5,58,1,1,0,1,0,0,0,1
Région,RSS11,11 - Gaspésie-Îles-de-la-Madeleine,Total,2513,185,0,0,33,56,90,2239,2190,274,49,38,346,37,323,1,1,2,3,0,0,0,3
Région,RSS12,12 - Chaudière-Appalaches,Total,34908,3452,1,10,507,1547,2060,29391,28705,5517,686,874,8257,1125,6203,6,9,80,89,0,7,7,96
Région,RSS13,13 - Laval,Total,41152,3280,13,23,607,2926,3567,34303,32938,6849,1365,809,7239,969,8214,34,139,41,180,1,3,4,184
Région,RSS14,14 - Lanaudière,Total,38390,1819,38,11,369,1874,2348,34279,32456,4111,1823,734,5263,782,5934,105,118,80,198,1,10,11,209
Région,RSS15,15 - Laurentides,Total,46537,2558,33,59,450,2626,3275,40811,38008,5726,2803,1114,7484,1136,8529,199,460,226,686,1,37,38,724
Région,RSS16,16 - Montérégie,Total,80231,4291,26,155,1841,2552,4475,71366,68014,8865,3352,2485,10682,1937,12217,82,389,449,838,10,41,51,889
Région,RSS00,Inconnu,Total,2792,51,1,0,144,63,209,2533,2389,259,144,31,260,186,403,2,5,27,32,1,0,1,33
Région,RSS98,Hors-Québec,Total,2700,125,11,10,201,112,314,2241,2138,459,103,208,321,274,562,1,16,14,30,4,4,8,38
Région,RSS99,Ensemble du Québec,Total,568544,45665,460,610,9861,22107,32977,489841,461291,78703,28550,16095,97373,17068,107253,1009,3521,2466,5987,42,155,197,6184

