Regroupement,Croisement,Nom,Cumul,nbPrelPos,nombreSequencageA,nombreSequencageB,nombreSequencageG,NbrConfirmeDelta,NbrPresomptifDelta,Delta_Total,NbrAutres,NbrAutre2,Total_VOC,nbrNonVOC,nbrCribETSeq,nbrCrib,nbrSeq,nbrCribOUSeq,nbrDeltaPresomptif,nbrOmicronPresomptifP681R,nbrOmicronPresomptif,nbrOmicronTotalCrib,nbrOmicronSanger,nbrOmicronSeq,nbrOmicronTotalSeq,Omicron_Total
Région,RSS01,01 - Bas-Saint-Laurent,Total,9628,994,0,0,26,98,125,8510,8040,1118,470,206,1675,222,1588,1,0,18,18,0,1,1,19
Région,RSS02,02 - Saguenay-Lac-Saint-Jean,Total,11721,997,0,0,68,177,245,10479,9720,1242,759,212,1984,217,2001,0,0,27,27,0,1,1,28
Région,RSS03,03 - Capitale-Nationale,Total,41378,6280,5,11,512,714,1278,33856,30965,7522,2891,1151,9966,1100,10413,52,14,313,327,0,21,21,348
Région,RSS04,04 - Mauricie et Centre-du-Québec,Total,30314,1652,1,2,258,822,1081,27579,27033,2735,546,419,4285,377,3281,1,7,417,424,0,2,2,426
Région,RSS05,05 - Estrie,Total,27700,2033,0,11,482,811,1294,24363,23393,3337,970,622,3981,529,4307,1,4,34,38,0,0,0,38
Région,RSS06,06 - Montréal,Total,179281,13821,126,285,4137,6571,11239,154341,142196,24940,12145,6890,30223,7113,37085,531,2468,870,3338,23,32,55,3393
Région,RSS07,07 - Outaouais,Total,25204,3839,17,33,182,1053,1235,20080,19786,5124,294,238,4822,797,5418,0,7,35,42,2,10,12,54
Région,RSS08,08 - Abitibi-Témiscamingue,Total,4521,103,187,0,29,40,71,4162,4058,359,104,29,256,244,463,2,0,5,5,0,0,0,5
Région,RSS09,09 - Côte-Nord,Total,2764,163,0,0,11,54,65,2536,2495,228,41,22,279,33,269,0,0,6,6,0,0,0,6
Région,RSS10,10 - Nord-du-Québec,Total,491,22,1,0,5,11,17,452,433,39,19,13,50,5,58,1,1,0,1,0,0,0,1
Région,RSS11,11 - Gaspésie-Îles-de-la-Madeleine,Total,2585,185,0,0,33,56,90,2311,2262,274,49,38,346,37,323,1,0,3,3,0,0,0,3
Région,RSS12,12 - Chaudière-Appalaches,Total,36349,3452,1,10,507,1547,2060,30832,30146,5517,686,874,8257,1125,6203,6,2,88,90,0,7,7,97
Région,RSS13,13 - Laval,Total,42432,3280,13,23,607,2926,3568,35583,34216,6849,1367,809,7239,972,8216,35,148,41,189,1,5,6,195
Région,RSS14,14 - Lanaudière,Total,39640,1819,38,11,369,1874,2349,35529,33705,4111,1824,734,5263,783,5935,106,123,114,237,1,11,12,249
Région,RSS15,15 - Laurentides,Total,48326,2558,33,59,450,2626,3276,42600,39797,5726,2803,1114,7484,1136,8529,200,471,227,698,1,37,38,736
Région,RSS16,16 - Montérégie,Total,83378,4291,26,155,1841,2552,4475,74513,71158,8865,3355,2485,10682,1940,12220,82,417,510,927,11,44,55,982
Région,RSS00,Inconnu,Total,3047,51,1,0,144,63,209,2788,2644,259,144,31,260,186,403,2,5,27,32,1,0,1,33
Région,RSS98,Hors-Québec,Total,3113,125,11,10,201,112,314,2654,2550,459,104,208,321,275,563,1,16,14,30,4,5,9,39
Région,RSS99,Ensemble du Québec,Total,591872,45665,460,610,9862,22107,32991,513168,484597,78704,28571,16095,97373,17091,107275,1022,3683,2749,6432,44,176,220,6652

