Regroupement,Croisement,Nom,Cumul,nbPrelPos,nombreSequencageA,nombreSequencageB,nombreSequencageG,NbrConfirmeDelta,NbrPresomptifDelta,Delta_Total,NbrAutres,NbrAutre2,Total_VOC,nbrNonVOC,nbrCribETSeq,nbrCrib,nbrSeq,nbrCribOUSeq,nbrDeltaPresomptif,nbrOmicronPresomptifP681R,nbrOmicronPresomptif,nbrOmicronTotalCrib,nbrOmicronSanger,nbrOmicronSeq,nbrOmicronTotalSeq,Omicron_Total
Région,RSS01,01 - Bas-Saint-Laurent,Total,9723,994,0,0,26,98,125,8605,8135,1118,470,206,1675,222,1588,1,0,18,18,0,1,1,19
Région,RSS02,02 - Saguenay-Lac-Saint-Jean,Total,11833,997,0,0,68,177,245,10591,9832,1242,759,212,1984,217,2001,0,0,27,27,0,1,1,28
Région,RSS03,03 - Capitale-Nationale,Total,41899,6280,5,11,513,714,1279,34376,31485,7523,2891,1151,9966,1101,10414,52,14,313,327,0,21,21,348
Région,RSS04,04 - Mauricie et Centre-du-Québec,Total,30657,1652,1,2,259,822,1082,27921,27375,2736,546,419,4285,378,3282,1,8,417,425,0,2,2,427
Région,RSS05,05 - Estrie,Total,27895,2033,0,11,535,811,1348,24505,23535,3390,970,622,3981,582,4360,2,4,34,38,0,0,0,38
Région,RSS06,06 - Montréal,Total,180939,13821,126,285,4215,6571,11317,155921,143775,25018,12146,6890,30223,7192,37164,531,2500,870,3370,23,33,56,3426
Région,RSS07,07 - Outaouais,Total,25441,3839,17,33,193,1053,1246,20306,20011,5135,295,238,4822,809,5430,0,7,35,42,2,11,13,55
Région,RSS08,08 - Abitibi-Témiscamingue,Total,4614,103,187,0,29,40,71,4255,4150,359,105,29,256,245,464,2,1,5,6,0,1,1,7
Région,RSS09,09 - Côte-Nord,Total,2853,163,0,0,11,54,65,2625,2584,228,41,22,279,33,269,0,0,6,6,0,0,0,6
Région,RSS10,10 - Nord-du-Québec,Total,501,22,1,0,5,11,17,462,443,39,19,13,50,5,58,1,1,0,1,0,0,0,1
Région,RSS11,11 - Gaspésie-Îles-de-la-Madeleine,Total,2612,185,0,0,33,56,90,2338,2289,274,49,38,346,37,323,1,0,3,3,0,0,0,3
Région,RSS12,12 - Chaudière-Appalaches,Total,36695,3452,1,10,522,1547,2075,31163,30477,5532,686,874,8257,1140,6218,6,2,88,90,0,7,7,97
Région,RSS13,13 - Laval,Total,42696,3280,13,23,609,2926,3571,35845,34476,6851,1369,809,7239,976,8220,36,148,40,188,1,7,8,196
Région,RSS14,14 - Lanaudière,Total,39950,1819,38,11,417,1874,2397,35791,33964,4159,1827,734,5263,834,5986,106,127,111,238,1,14,15,253
Région,RSS15,15 - Laurentides,Total,48746,2558,33,59,511,2626,3338,42959,40153,5787,2806,1114,7484,1200,8593,201,473,225,698,1,40,41,739
Région,RSS16,16 - Montérégie,Total,84110,4291,26,155,1871,2552,4505,75215,71857,8895,3358,2485,10682,1973,12253,82,420,508,928,11,47,58,986
Région,RSS00,Inconnu,Total,3158,51,1,0,158,63,223,2885,2741,273,144,31,260,200,417,2,5,27,32,1,0,1,33
Région,RSS98,Hors-Québec,Total,3332,125,11,10,202,112,315,2872,2768,460,104,208,321,276,564,1,16,14,30,4,5,9,39
Région,RSS99,Ensemble du Québec,Total,597654,45665,460,610,10177,22107,33309,518635,490050,79019,28585,16095,97373,17420,107604,1025,3726,2741,6467,44,190,234,6701

