Regroupement,Croisement,Nom,Cumul,nbPrelPos,nombreSequencageA,nombreSequencageB,nombreSequencageG,NbrConfirmeDelta,NbrPresomptifDelta,Delta_Total,NbrAutres,NbrAutre2,Total_VOC,nbrNonVOC,nbrCribETSeq,nbrCrib,nbrSeq,nbrCribOUSeq,nbrDeltaPresomptif,nbrOmicronPresomptifP681R,nbrOmicronPresomptif,nbrOmicronTotalCrib,nbrOmicronSanger,nbrOmicronSeq,nbrOmicronTotalSeq,Omicron_Total
Région,RSS01,01 - Bas-Saint-Laurent,Total,9783,994,0,0,26,98,125,8665,8194,1118,471,206,1675,223,1589,1,0,18,18,0,2,2,20
Région,RSS02,02 - Saguenay-Lac-Saint-Jean,Total,11954,997,0,0,68,177,245,10712,9953,1242,759,212,1984,217,2001,0,0,27,27,0,1,1,28
Région,RSS03,03 - Capitale-Nationale,Total,42355,6280,5,11,513,714,1279,34832,31940,7523,2892,1151,9966,1102,10415,52,15,313,328,0,22,22,350
Région,RSS04,04 - Mauricie et Centre-du-Québec,Total,31075,1652,1,2,259,822,1082,28339,27793,2736,546,419,4285,378,3282,1,8,417,425,0,2,2,427
Région,RSS05,05 - Estrie,Total,28089,2033,0,11,535,811,1348,24699,23728,3390,971,622,3981,583,4361,2,4,34,38,0,1,1,39
Région,RSS06,06 - Montréal,Total,181987,13821,126,285,4215,6571,11318,156969,144819,25018,12150,6890,30223,7196,37168,532,2554,870,3424,23,37,60,3484
Région,RSS07,07 - Outaouais,Total,25570,3839,17,33,193,1053,1246,20435,20139,5135,296,238,4822,810,5431,0,7,35,42,2,12,14,56
Région,RSS08,08 - Abitibi-Témiscamingue,Total,4687,103,187,0,29,40,71,4328,4223,359,105,29,256,245,464,2,1,5,6,0,1,1,7
Région,RSS09,09 - Côte-Nord,Total,2939,163,0,0,11,54,65,2711,2670,228,41,22,279,33,269,0,0,6,6,0,0,0,6
Région,RSS10,10 - Nord-du-Québec,Total,517,22,1,0,5,11,17,478,459,39,19,13,50,5,58,1,1,0,1,0,0,0,1
Région,RSS11,11 - Gaspésie-Îles-de-la-Madeleine,Total,2639,185,0,0,33,56,90,2365,2316,274,49,38,346,37,323,1,0,3,3,0,0,0,3
Région,RSS12,12 - Chaudière-Appalaches,Total,37009,3452,1,10,522,1547,2075,31477,30791,5532,686,874,8257,1140,6218,6,2,88,90,0,7,7,97
Région,RSS13,13 - Laval,Total,42947,3280,13,23,609,2926,3571,36096,34727,6851,1369,809,7239,976,8220,36,153,40,193,1,7,8,201
Région,RSS14,14 - Lanaudière,Total,40245,1819,38,11,417,1874,2397,36086,34259,4159,1827,734,5263,834,5986,106,128,111,239,1,14,15,254
Région,RSS15,15 - Laurentides,Total,49076,2558,33,59,511,2626,3338,43289,40483,5787,2806,1114,7484,1200,8593,201,475,225,700,1,40,41,741
Région,RSS16,16 - Montérégie,Total,84721,4291,26,155,1871,2552,4506,75826,72468,8895,3358,2485,10682,1973,12253,83,430,508,938,11,47,58,996
Région,RSS00,Inconnu,Total,3201,51,1,0,158,63,223,2928,2784,273,144,31,260,200,417,2,5,27,32,1,0,1,33
Région,RSS98,Hors-Québec,Total,3434,125,11,10,202,112,315,2974,2870,460,104,208,321,276,564,1,17,14,31,4,5,9,40
Région,RSS99,Ensemble du Québec,Total,602228,45665,460,610,10177,22107,33311,523209,494616,79019,28593,16095,97373,17428,107612,1027,3800,2741,6541,44,198,242,6783

