Regroupement,Croisement,Nom,Cumul,nbPrelPos,nombreSequencageA,nombreSequencageB,nombreSequencageG,NbrConfirmeDelta,NbrPresomptifDelta,Delta_Total,NbrAutres,NbrAutre2,Total_VOC,nbrNonVOC,nbrCribETSeq,nbrCrib,nbrSeq,nbrCribOUSeq,nbrDeltaPresomptif,nbrOmicronPresomptifP681R,nbrOmicronPresomptif,nbrOmicronTotalCrib,nbrOmicronSanger,nbrOmicronSeq,nbrOmicronTotalSeq,Omicron_Total
Région,RSS01,01 - Bas-Saint-Laurent,Total,10137,994,0,0,26,98,125,9019,8548,1118,471,206,1675,223,1589,1,0,18,18,0,2,2,20
Région,RSS02,02 - Saguenay-Lac-Saint-Jean,Total,12526,997,0,0,68,177,245,11284,10525,1242,759,212,1984,217,2001,0,0,27,27,0,1,1,28
Région,RSS03,03 - Capitale-Nationale,Total,44263,6280,5,11,513,714,1279,36740,33848,7523,2892,1151,9966,1102,10415,52,17,313,330,0,22,22,352
Région,RSS04,04 - Mauricie et Centre-du-Québec,Total,32066,1652,1,2,259,822,1082,29330,28784,2736,546,419,4284,378,3282,1,8,417,425,0,2,2,427
Région,RSS05,05 - Estrie,Total,28953,2033,0,11,535,811,1349,25563,24592,3390,971,622,3981,583,4361,3,5,34,39,0,1,1,40
Région,RSS06,06 - Montréal,Total,185428,13821,126,285,4215,6571,11320,160410,148260,25018,12150,6890,30223,7196,37168,534,2813,870,3683,23,37,60,3743
Région,RSS07,07 - Outaouais,Total,26198,3839,17,33,194,1053,1247,21062,20766,5136,296,238,4822,811,5432,0,7,35,42,2,12,14,56
Région,RSS08,08 - Abitibi-Témiscamingue,Total,4956,103,187,0,29,40,71,4597,4492,359,105,29,256,245,464,2,1,5,6,0,1,1,7
Région,RSS09,09 - Côte-Nord,Total,3184,163,0,0,11,54,65,2956,2915,228,41,22,279,33,269,0,0,6,6,0,0,0,6
Région,RSS10,10 - Nord-du-Québec,Total,558,22,1,0,5,11,17,519,500,39,19,13,50,5,58,1,1,0,1,0,0,0,1
Région,RSS11,11 - Gaspésie-Îles-de-la-Madeleine,Total,2755,185,0,0,33,56,90,2481,2432,274,49,38,346,37,323,1,0,3,3,0,0,0,3
Région,RSS12,12 - Chaudière-Appalaches,Total,38200,3452,1,10,522,1547,2075,32668,31982,5532,686,874,8257,1140,6218,6,2,88,90,0,7,7,97
Région,RSS13,13 - Laval,Total,43759,3280,13,23,610,2926,3574,36907,35538,6852,1369,809,7239,977,8221,38,169,40,209,1,7,8,217
Région,RSS14,14 - Lanaudière,Total,41176,1819,38,11,417,1874,2397,37017,35190,4159,1827,734,5263,834,5986,106,142,111,253,1,14,15,268
Région,RSS15,15 - Laurentides,Total,50421,2558,33,59,512,2626,3339,44633,41827,5788,2806,1114,7484,1201,8594,201,480,225,705,1,40,41,746
Région,RSS16,16 - Montérégie,Total,86904,4291,26,155,1871,2552,4506,78009,74651,8895,3358,2485,10682,1973,12253,83,472,517,989,11,47,58,1047
Région,RSS00,Inconnu,Total,3392,51,1,0,203,63,268,3074,2930,318,144,31,261,245,462,2,9,27,36,1,0,1,37
Région,RSS98,Hors-Québec,Total,3887,125,11,10,202,112,315,3427,3323,460,104,208,321,276,564,1,18,14,32,4,5,9,41
Région,RSS99,Ensemble du Québec,Total,618763,45665,460,610,10225,22107,33364,539696,511103,79067,28593,16095,97373,17476,107660,1032,4144,2750,6894,44,198,242,7136

