Regroupement,Croisement,Nom,Cumul,nbPrelPos,nombreSequencageA,nombreSequencageB,nombreSequencageG,NbrConfirmeDelta,nbrDeltaHospit,NbrPresomptifDelta,nbrDeltaPresomptif,nbrCriblageDelta,Delta_Total,NbrAutres,NbrAutre2,Total_VOC,nbrNonVOC,nbrCribETSeq,nbrCrib,nbrSeq,nbrCribOUSeq,nbrOmicronPresomptifP681R,nbrOmicronPresomptif,nbrCriblageBA1,nbrCriblageBA2,nbrOmicronTotalCrib,nbrOmicronSanger,nbrSeqBA2,nbrOmicronSeq,nbrOmicronTotalSeq,Omicron_Total
Région,RSS01,01 - Bas-Saint-Laurent,Total,12342,994,0,0,73,3,98,1,0,175,11113,10642,1229,471,206,1675,319,1700,0,18,0,0,18,0,0,42,42,60
Région,RSS02,02 - Saguenay-Lac-Saint-Jean,Total,14839,997,0,0,103,10,177,0,0,290,13524,12760,1315,764,212,1984,292,2079,0,27,0,0,27,0,0,1,1,28
Région,RSS03,03 - Capitale-Nationale,Total,51146,6282,5,11,591,0,711,52,0,1354,42919,40019,8227,2900,1154,9965,1468,11127,14,313,137,0,464,0,0,111,111,575
Région,RSS04,04 - Mauricie et Centre-du-Québec,Total,36110,1652,1,2,308,96,822,1,0,1227,32767,32208,3343,559,419,4284,620,3902,7,417,1,0,425,0,0,36,36,461
Région,RSS05,05 - Estrie,Total,31794,2033,0,11,636,18,810,1,0,1465,28156,27167,3638,989,623,3981,1009,4627,4,32,0,0,36,0,0,93,93,129
Région,RSS06,06 - Montréal,Total,194745,13821,126,285,4361,53,6571,519,3,11507,165502,150908,29243,14594,6890,30223,9546,43837,2202,868,230,27,3327,24,4,153,177,3504
Région,RSS07,07 - Outaouais,Total,28061,3838,17,33,218,2,1053,0,0,1273,22832,21854,5229,978,239,4820,940,6207,7,35,0,0,42,2,0,24,26,68
Région,RSS08,08 - Abitibi-Témiscamingue,Total,6202,103,187,0,31,1,40,2,0,74,5824,5526,378,298,29,256,258,676,0,5,0,0,5,0,0,9,9,14
Région,RSS09,09 - Côte-Nord,Total,4442,163,0,0,13,0,54,0,0,67,4205,4164,237,41,22,279,37,278,0,6,0,0,6,0,0,1,1,7
Région,RSS10,10 - Nord-du-Québec,Total,727,22,1,0,5,0,11,1,0,17,686,666,41,20,13,50,7,61,1,0,0,0,1,0,0,0,0,1
Région,RSS11,11 - Gaspésie-Îles-de-la-Madeleine,Total,3281,185,0,0,34,0,56,1,0,91,3002,2953,279,49,38,346,47,328,0,3,0,0,3,0,0,0,0,3
Région,RSS12,12 - Chaudière-Appalaches,Total,42016,3450,1,10,596,13,1547,6,0,2162,36264,35016,5752,1248,874,8255,1358,7000,1,88,10,0,99,0,0,30,30,129
Région,RSS13,13 - Laval,Total,46019,3280,13,23,626,3,2926,34,0,3589,38799,35747,7220,3052,809,7239,1405,10272,136,40,84,12,272,1,0,42,43,315
Région,RSS14,14 - Lanaudière,Total,44646,1819,38,11,507,13,1874,104,0,2498,39841,37534,4805,2307,734,5263,1210,7112,126,111,119,16,372,1,0,66,67,439
Région,RSS15,15 - Laurentides,Total,54751,2559,33,59,529,7,2626,199,0,3361,47742,44692,7009,3050,1114,7485,1622,10059,469,224,151,7,851,1,0,145,146,997
Région,RSS16,16 - Montérégie,Total,93429,4291,26,155,1961,46,2552,80,0,4639,83233,78906,10196,4327,2485,10682,3194,14523,382,517,14,1,914,11,0,160,171,1085
Région,RSS00,Inconnu,Total,4058,52,1,0,245,1,63,2,0,311,3647,3454,411,193,31,262,331,604,5,14,4,0,23,1,0,23,24,47
Région,RSS98,Hors-Québec,Total,4628,125,11,10,204,2,112,0,0,318,4118,3999,510,119,208,320,322,629,16,14,1,0,31,2,0,13,15,46
Région,RSS99,Ensemble du Québec,Total,673236,45666,460,610,11041,268,22103,1003,3,34418,584174,548215,89062,35959,16100,97369,23985,125021,3370,2732,751,63,6916,43,4,949,992,7908

