Regroupement,Croisement,Nom,Cumul,nbPrelPos,nombreSequencageA,nombreSequencageB,nombreSequencageG,NbrConfirmeDelta,nbrDeltaHospit,NbrPresomptifDelta,nbrDeltaPresomptif,nbrCriblageDelta,Delta_Total,NbrAutres,NbrAutre2,Total_VOC,nbrNonVOC,nbrCribETSeq,nbrCrib,nbrSeq,nbrCribOUSeq,nbrOmicronPresomptifP681R,nbrOmicronPresomptif,nbrCriblageBA1,nbrCriblageBA2,nbrOmicronTotalCrib,nbrOmicronSanger,nbrSeqBA2,nbrOmicronSeq,nbrOmicronTotalSeq,Omicron_Total
Région,RSS01,01 - Bas-Saint-Laurent,Total,13028,994,0,0,75,3,97,1,0,176,11776,11305,1252,471,207,1674,342,1723,0,18,1,0,19,0,0,63,63,82
Région,RSS02,02 - Saguenay-Lac-Saint-Jean,Total,15839,997,0,0,107,10,177,0,0,294,14511,13747,1328,764,212,1984,302,2092,0,27,3,0,30,0,0,7,7,37
Région,RSS03,03 - Capitale-Nationale,Total,54405,6282,5,11,607,0,711,52,0,1370,45761,42861,8644,2900,1155,9964,1501,11544,14,313,522,0,849,0,0,127,127,976
Région,RSS04,04 - Mauricie et Centre-du-Québec,Total,37684,1652,1,2,332,96,822,1,0,1251,34316,33757,3368,559,419,4284,645,3927,7,417,1,0,425,0,0,37,37,462
Région,RSS05,05 - Estrie,Total,33082,2033,0,11,643,18,810,1,0,1472,29432,28443,3650,989,623,3981,1018,4639,4,32,3,0,39,0,0,95,95,134
Région,RSS06,06 - Montréal,Total,203813,13821,126,285,4376,53,6570,516,3,11518,174426,159755,29387,14671,6891,30222,9599,44058,2125,868,381,42,3416,30,4,191,221,3637
Région,RSS07,07 - Outaouais,Total,29056,3838,17,33,219,2,1053,0,0,1274,23818,22839,5238,979,239,4820,950,6217,7,35,0,0,42,2,0,32,34,76
Région,RSS08,08 - Abitibi-Témiscamingue,Total,6521,103,187,0,38,1,40,2,0,81,6135,5837,386,298,29,256,265,684,0,5,1,0,6,0,0,9,9,15
Région,RSS09,09 - Côte-Nord,Total,4768,163,0,0,13,0,54,0,0,67,4530,4489,238,41,22,279,38,279,0,6,0,0,6,0,0,2,2,8
Région,RSS10,10 - Nord-du-Québec,Total,759,22,1,0,5,0,11,1,0,17,718,698,41,20,13,50,7,61,1,0,0,0,1,0,0,0,0,1
Région,RSS11,11 - Gaspésie-Îles-de-la-Madeleine,Total,3517,185,0,0,34,0,56,1,0,91,3236,3187,281,49,38,346,47,330,0,3,2,0,5,0,0,0,0,5
Région,RSS12,12 - Chaudière-Appalaches,Total,43955,3450,1,10,602,13,1542,6,0,2163,38168,36920,5787,1248,879,8250,1366,7035,1,88,42,0,131,0,0,32,32,163
Région,RSS13,13 - Laval,Total,48153,3280,13,23,626,3,2926,34,0,3589,40856,37797,7297,3059,809,7239,1411,10356,124,40,160,14,338,6,0,48,54,392
Région,RSS14,14 - Lanaudière,Total,46721,1819,38,11,525,13,1868,104,0,2510,41784,39467,4937,2317,740,5257,1266,7254,110,111,198,26,445,11,0,103,114,559
Région,RSS15,15 - Laurentides,Total,57029,2559,33,59,529,7,2626,199,0,3361,49907,46848,7122,3059,1114,7485,1631,10181,458,224,258,13,953,4,0,153,157,1110
Région,RSS16,16 - Montérégie,Total,97521,4291,26,155,1968,46,2552,80,0,4646,87303,82967,10218,4336,2485,10682,3213,14554,374,517,25,2,918,11,0,171,182,1100
Région,RSS00,Inconnu,Total,4237,52,1,0,245,1,63,2,0,311,3825,3631,412,194,31,262,331,606,5,14,5,0,24,1,0,23,24,48
Région,RSS98,Hors-Québec,Total,4791,125,11,10,204,2,112,0,0,318,4280,4161,511,119,208,320,322,630,16,14,2,0,32,2,0,13,15,47
Région,RSS99,Ensemble du Québec,Total,704879,45666,460,610,11148,268,22090,1000,3,34509,614782,578709,90097,36073,16114,97355,24254,126170,3246,2732,1604,97,7679,67,4,1106,1173,8852

