borough,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30
Ahuntsic–Cartierville,54,66,na,98,106,131,143,176,200,223,247,277,305,333,353,392,417,481,535,594,663,na,753,802,835,879,946,973,1007,1064,na,na,na
Anjou,9,14,na,19,19,26,35,37,42,47,59,67,72,81,87,92,97,113,120,127,138,na,154,173,188,214,239,256,279,288,na,na,na
Baie-D'Urfé,2,2,na,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,na,5,5,5,6,6,6,6,6,na,na,na
Beaconsfield,10,9,na,10,10,10,10,10,11,13,14,14,14,14,13,13,13,13,15,15,15,na,16,17,17,20,24,24,25,25,na,na,na
Côte-des-Neiges–Notre-Dame-de-Grâce,161,182,na,253,281,323,370,384,428,453,501,522,538,543,559,640,671,717,775,799,839,na,907,955,987,1035,1053,1071,1097,1137,na,na,na
Côte-Saint-Luc,107,120,na,147,154,169,192,207,232,241,262,264,266,267,267,270,279,286,292,292,300,na,316,321,325,328,330,330,335,346,na,na,na
Dollard-des-Ormeaux,17,18,na,28,30,36,45,50,54,64,66,68,71,72,73,75,76,82,89,92,96,na,103,108,109,117,126,128,130,136,na,na,na
Dorval,7,10,na,16,17,23,26,27,31,37,37,37,37,37,38,41,41,44,47,47,49,na,55,61,62,71,73,77,77,78,na,na,na
Hampstead,18,20,na,22,23,26,27,27,28,28,29,29,29,29,29,29,29,29,29,29,29,na,32,33,33,33,37,38,37,38,na,na,na
Kirkland,7,7,na,8,8,11,12,12,12,12,14,15,15,17,17,18,18,20,21,23,25,na,25,26,26,29,25,26,27,27,na,na,na
Lachine,19,22,na,32,35,45,57,59,71,78,83,83,84,85,87,89,93,99,102,104,108,na,114,120,126,129,146,149,155,157,na,na,na
LaSalle,66,78,na,119,135,170,204,219,237,267,286,298,312,313,324,339,349,360,372,379,384,na,399,406,425,428,469,478,485,497,na,na,na
L'Île-Bizard–Sainte-Geneviève,5,7,na,9,9,11,14,15,16,20,19,22,22,25,25,27,28,29,33,32,31,na,38,44,45,52,49,53,54,57,na,na,na
Mercier–Hochelaga-Maisonneuve,40,62,na,91,98,126,145,151,182,195,213,232,255,276,298,330,359,396,430,459,488,na,542,569,618,671,761,791,830,852,na,na,na
Montréal-Est,1,1,na,5,5,5,5,5,5,5,6,7,8,8,7,7,7,7,8,8,8,na,11,12,13,14,15,14,14,16,na,na,na
Montréal-Nord,26,33,na,50,55,79,99,117,149,165,193,238,263,291,326,357,404,443,490,527,577,na,722,785,839,891,1001,1058,1110,1153,na,na,na
Montréal-Ouest,3,3,na,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,na,7,7,7,7,9,9,9,10,na,na,na
Mont-Royal,18,24,na,31,33,34,36,36,37,38,44,44,45,46,47,49,51,53,57,60,63,na,67,76,87,93,91,92,96,104,na,na,na
Outremont,56,61,na,88,95,103,113,113,119,131,139,143,145,144,147,148,153,156,157,159,162,na,165,167,170,170,182,182,183,188,na,na,na
Pierrefonds–Roxboro,26,27,na,39,39,45,50,54,56,69,75,78,83,86,88,90,93,100,104,108,110,na,117,124,127,138,147,154,155,156,na,na,na
Plateau-Mont-Royal,67,80,na,120,134,156,168,174,186,203,220,232,233,235,248,259,275,295,345,348,363,na,380,386,401,416,435,465,488,508,na,na,na
Pointe-Claire,11,11,na,14,15,18,21,23,24,30,32,33,33,33,34,37,37,38,39,40,40,na,46,50,52,59,63,62,63,67,na,na,na
Rivière-des-Prairies–Pointe-aux-Trembles,41,51,na,73,83,102,117,133,148,161,180,194,216,235,253,285,313,358,395,413,444,na,529,577,647,708,775,817,869,908,na,na,na
Rosemont–La Petite Patrie,80,97,na,133,141,166,181,194,217,227,247,260,278,301,317,336,340,357,379,401,418,na,467,489,527,552,574,600,629,652,na,na,na
Sainte-Anne-de-Bellevue,2,2,na,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,na,7,7,7,7,8,8,8,9,na,na,na
Saint-Laurent,40,49,na,81,90,103,119,128,141,152,163,167,172,181,191,200,213,223,237,253,271,na,302,319,340,354,398,415,433,452,na,na,na
Saint-Léonard,17,20,na,37,40,48,67,77,96,103,124,139,153,168,184,210,224,240,258,273,294,na,353,372,394,418,438,480,509,531,na,na,na
Senneville,0,0,na,0,0,0,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,na,2,2,2,2,2,2,2,2,na,na,na
Sud-Ouest,46,56,na,83,95,107,124,134,162,171,184,210,224,227,236,268,286,310,322,328,350,na,381,406,427,448,469,491,500,525,na,na,na
Verdun,36,43,na,77,85,97,105,117,134,141,154,174,183,186,198,240,276,301,326,332,350,na,417,462,505,518,515,523,535,561,na,na,na
Ville-Marie,67,78,na,114,117,127,135,140,152,164,174,185,190,193,205,215,225,238,249,252,261,na,274,287,302,321,305,313,322,326,na,na,na
Villeray–Saint-Michel–Parc-Extension,41,56,na,88,103,126,149,160,185,199,242,266,292,302,326,367,390,429,467,487,529,na,602,624,660,701,798,837,871,909,na,na,na
Westmount,25,29,na,33,38,39,44,46,52,55,57,57,58,59,60,62,63,64,67,67,70,na,72,74,77,84,90,91,91,101,na,na,na
TBC,487,653,na,715,735,788,888,938,985,1067,1181,1245,1248,1284,1339,1126,993,983,983,986,964,na,968,990,990,984,563,609,604,602,na,na,na
